condition,perimetre,segmentation,n_cellules,exactitude_vraie,exactitude_permutee,permutee_bas,permutee_haut,chute,chute_relative,exactitude_reassignation_optimale,gain_hongrois_absolu,part_recuperee_par_reassignation,permutations,plancher_humain_chute_relative,part_du_plancher_humain
humains vague 1,1052,S_ideo,7,1.0,0.5210703166866563,0.5174857095465333,0.5244950493786206,0.47892968331334373,0.47892968331334373,1.0,0.47892968331334373,1.0,200,0.3472745656622397,1.3791095884031779
humains vague 1,1052,S_fin,42,1.0,0.5461126457753847,0.5397872700130145,0.5528745183351621,0.45388735422461535,0.45388735422461535,1.0,0.45388735422461535,1.0,200,0.3247824098222526,1.3975121204163103
humains vague 1,1052,S_gra,38,1.0,0.5266051879449818,0.5206712366345981,0.5325782466123968,0.4733948120550182,0.4733948120550182,1.0,0.4733948120550182,1.0,200,0.34859250491513866,1.358017758213882
humains vague 2,1052,S_ideo,7,0.795002169086687,0.5189181361165693,0.5157188608467094,0.5225605749355654,0.27608403297011763,0.3472745656622397,0.7953785694235334,0.276460433306964,1.0013633542396387,200,0.3472745656622397,1.0
humains vague 2,1052,S_fin,42,0.795002169086687,0.5367994487967949,0.5324906856865798,0.5408340138311174,0.2582027202898921,0.3247824098222526,0.7951233827544849,0.25832393395769004,1.0004694515521055,200,0.3247824098222526,1.0
humains vague 2,1052,S_gra,38,0.795002169086687,0.5178703715517902,0.5136891698777656,0.5221072996146682,0.2771317975348968,0.34859250491513866,0.7952956337560926,0.2774252622043024,1.0010589353946966,200,0.34859250491513866,1.0
agents composite,1052,S_ideo,7,0.683932171383367,0.5314459833618291,0.528638642917294,0.5343631178707224,0.1524861880215379,0.22295513268970682,0.6854888100645622,0.15404282670273306,1.010208391339518,200,0.3472745656622397,0.6420139991091477
agents composite,1052,S_fin,42,0.683932171383367,0.5422840482813178,0.5386245757521626,0.5456195613341159,0.14164812310204922,0.2071084371064783,0.6843468497205706,0.14206280143925276,1.002927524404293,200,0.3247824098222526,0.6376836640254776
agents composite,1052,S_gra,38,0.683932171383367,0.5181213157424657,0.5137915635287214,0.5221502028734019,0.16581085564090137,0.24243757287439954,0.6843787480542016,0.16625743231173595,1.0026932897071694,200,0.34859250491513866,0.6954755752233357
agents entretien (v3),1052,S_ideo,7,0.6564932247939368,0.53530606451119,0.5326176410544314,0.5381129264807207,0.12118716028274679,0.18459773186659403,0.6612843545053207,0.12597828999413074,1.0395349614613096,200,0.3472745656622397,0.5315613353790336
agents entretien (v3),1052,S_fin,42,0.6564932247939368,0.5444424809247965,0.5415502909128028,0.5471862479904049,0.11205074386914027,0.17068073155562463,0.6572524051343558,0.11280992420955926,1.006775326197795,200,0.3247824098222526,0.5255233239048723
