horizon_ans,predicteur,mesure,valeur,ic_bas,ic_haut
2,persistance,exactitude globale,0.7207495282495283,0.7000716072067493,0.7407168722176947
2,jumeau IA,exactitude globale,0.6018774975024975,0.5837331761065938,0.6213905844155844
2,jumeau IA,exactitude sur cellules changees,0.3925636921435241,0.3568592469038897,0.4313677542621987
2,mode du segment,exactitude globale,0.64052842990343,0.6185063186060927,0.6622717282717283
2,mode du segment,exactitude sur cellules changees,0.4765572895824996,0.4341415846933453,0.5211971352467928
2,regle combinee,exactitude globale,0.6965584762459762,0.6770076832519579,0.7156064157420848
2,jumeau IA,AUC desaccord -> changement,0.6297736873394969,0.6039066900848167,0.6583412876611493
4,persistance,exactitude globale,0.7153056665556666,0.6951571998771675,0.7353847557081339
4,jumeau IA,exactitude globale,0.5891032231657233,0.5717262502980743,0.6071972885745207
4,jumeau IA,exactitude sur cellules changees,0.35974687349687345,0.32403975303843263,0.396674191634389
4,mode du segment,exactitude globale,0.6442922008547007,0.6226338429109288,0.6668333771080251
4,mode du segment,exactitude sur cellules changees,0.45596410533910536,0.4135927069845352,0.49520005231661074
4,regle combinee,exactitude globale,0.7016189366189366,0.6838272829144539,0.7217523542905566
4,jumeau IA,AUC desaccord -> changement,0.6122850122850122,0.5864341716772614,0.6377269079181641
